es_id,es_district,es_circuit,es_parish,es_congregation
276,Kainantu,Kambaidam,Uroni,Akuna
332,Yabim,Lae,ST PETER,GOBADIK
305,Kainantu,Kmabaidam,Ambesiara,Arau one
373,Kote,Kalasa,Amugen,KUKUYA
345,Kote,Qembung,Babuso,ZINKO
395,Kainantu,Raipinka,Jomuna,Ongrunka
396,Kainantu,Raipinka,Jomuna,Bobbonave
397,Kainantu,Raipinka,Jomuna,Bobonave
398,Kainantu,Tenta,Nanda,Erandora
399,Kainantu,Raipinka,Mavau,Avina
402,Kainantu,Raipinka,Zomuna,Bobonave
403,Jiwika,DAGOB,NAMEL,KAMING
404,Kainantu,Raipinka,Jomuna,Benaga
406,Kainantu,Ponampa,Diuvigim,Aimara
407,Kainantu,Raipinka,Ijorina,Sisimega
408,Kainantu,Raipinka,Yomuna,Koyokite
409,Kainantu,Raipinka,Imune,Tiunka
410,Kainantu,Finintugu,Naila,Vitix
411,Jiwika,TAPI BUKA,KAULIKOMBO,KAULIKOMBO
412,Kainantu,Raipinka,Izorina,Konaka
414,Kainantu,Town,Town,Bundaera
415,Kainantu,Finintugu,Kizimarcna,Kamuri
416,Kainantu,Finintugu,Kizimarena,Kamuri
417,Kainantu,Kainantu,Ona Seket,Kainimpa
418,Kainantu,Raipinka,Imune,Kuna
421,Kainantu,Ponampa,Division one,Waisampa
422,Kainantu,Raipinka,Maboko,Tapo
423,Kainantu,Raipinka,Jomuna,Panafi Jonorona
424,Kainantu,Finintugu,Aseu,Avi Kukumo
427,Kainantu,Lihona,Kizimaro,Betel
428,Kainantu,Lihona,Bagave,Timereo
429,Kainantu,Finintugu,Naila,Sky
430,Kainantu,Kainantu,Finintugu,Skai
431,Kainantu,Kainantu,Finintugu,Skai
434,Jiwika,Kup,Morsuil,Dombo
435,Jiwika,Kup,Djack,Djack
437,Kainantu,Kainantu,Lihona,Tinteo
438,Kainantu,Raipinka,Ijorina,Sisimega
439,Kainantu,Kainantu,Kzimaize,Henganofi
441,Kainantu,Finintugu,Kafetina,Kinkio
442,Kainantu,Kambaidam,Uroni,Onanika
444,Jiwika,TABBI,BAURA,BAURA
451,Jiwika,KUMA,PIKAMAPE,ZION
452,Kainantu,Kambaidam,Onna,Kamanda
454,Kainantu,Tenta,Nanda,Suwaira
458,Kainantu,Finintugu,Keimarena,Kamuri
461,Jiwika,KOL,x,x
462,Kainantu,Finintugu,Kizimarena,Kamuri
463,Kainantu,Ona,Ese,Moimo
464,Jiwika,KOL,YAMBAP,BIAL
465,Kainantu,Ponampa,Division one,Amaira
466,Kainantu,Ponampa,Division One,Amaira
467,Jiwika,KOL,YAMBAP,BIAL
468,Kainantu,Raipinka,Bush,Onenofi
470,Jiwika,KOL,PAWIKI,JINDUMP
471,Immanuel,Mendi,Pundia,Liambiale
472,Immanuel,Mendi,Okayi,Otanda
475,Immanuel,Tiripini,Wala,Timbari
476,Immanuel,Tripini,Kaule,Kapele
477,Immanuel,Tiripini,Kalue,Parupini
478,Immanuel,Tiripini,Kauwo,Pondia
479,Immanuel,Tiripini,Kaluwe,Parish
480,Immanuel,Tiripini,Kalue,Wariko
481,Immanuel,Mendi,Pundia,Pundia
483,Immanuel,Tiripini,Kaulo,Poloko
484,Immanuel,Tiripini,Kauwo,Bua
485,Immanuel,Mendi,Pundia,Papera
486,Immanuel,Tripini,Kalvri,Kala
488,Immanuel,Mendi,Karel,Semera
489,Immanuel,Mendi,Pundia,Asesa
490,Immanuel,Tiripini,Kaluwe,Moroa
491,Immanuel,Tiripini,Kaluwe,Moroa
492,Immanuel,Imbongu,Papunda,Nakop
493,Immanuel,Tiripini,Tiyuka,Yungili
495,Immanuel,Mendi,Okaiya,Apenda
496,Immanuel,Mendi,Okaiya,Kana
497,Immanuel,Tiripini,Wamuane,Tarini
498,Immanuel,Mendi,Karel,Semera
499,Immanuel,Tiripini,Kauow,Bolona
500,Immanuel,Tiripini,Kalowari,Kelepini
501,Immanuel,Mendi,Karel,Karel
504,Kainantu,Kainantu,Raipinka,Krufinave
505,Kainantu,Kambaidam,Ona,Binumarian
