admin_id,admin_province,admin_district,admin_llg,admin_ward,admin_village,admin_tribe,admin_clan
70,Eastern Highlands,Henganofit,Dunantina Rural,5,Titegave,Hengimpare,Munonofi
71,Madang,Usino Bundit,Usino Rural,30,Gamoudo,Sob,Saisob
72,Madang,Saidor,Saidor,17,Mowererong,yoke,yoke
73,Eastern Highlands,Henganofit,,6,Numuyanave ,Tirebe,Kegeribi Gona
74,Eastern Highlands,Henganofit,Kafentina Rural,5,henaru,henaru,Kinome
75,Madang,Sumkart,Karkar Rural,26,Marup,Marup,Babu
76,Madang,Karkar,Karkar Rural,10,Deldign,,Deldign
77,Morobe,Huont,Wampar Rural,17,Gabsongkeg ,Wampar ,Montar
78,Morobe,Huont,Wampar Rural,3,Gabensis,wampar,Ngardminah
79,Madang,Malimum,Usino Bundi,28,komas,Ninkos,Ninkos 
80,Morobe,Menyamyat,Wapi Rural,12,Pinake ,Wataqawateqa,Quanataqa
81,Madang,karkar,Karkar Rural,4,Dorokotam,Boagam,Boagam
82,Morobe,Menyamyat,Wapi Rural,8,Kapo,Kameqa,Gotika 
83,Eastern Highlands,Gorokat,Mimanaro,4,Hegu,Sehayuha,Sehayuha
84,Southern Highlands,Kagua/Eravet,Aiya Rural,4,Apopa,Apopa,Apopa
85,,,,,,,
86,Southern Highlands,Pangia,South Wiru,Undiapu,Undiapu,Awari,Awari
87,Southern Highlands,Pangia,South Wiru,Kerepali,Kerepali,Peri,Peri
88,Southern Highlands,Imbonggut,Imbonggu Rural,3,Nagop,Antu,Antu
89,Chimbu (Simbu),SNK,Salt Rural,16,Kilau,Golba,Kabini
90,Eastern Highlands,Henganofit,Kafentina Rural,4,Ababe,Johotegabe,Johotegabe
91,Eastern Highlands,Okapat,Kimi,15,Agibu,Agomo,Agomo
92,Eastern Highlands,Kainantut,Kamano No. 2 Rural,4,Fiteve,Henganofi,Henganofi
93,Eastern Highlands,Gorokat,Goroka Urban,07 - GEHAMO,OKESANA,GITUNUZUHA,OKESANA
94,Eastern Highlands,Okapat,Kimi,15,Agibu,Agomo,Agomo
95,Southern Highlands,Pangia,Eastern End,1,Kauwo,Muni,Kauwo
96,Southern Highlands,Imbonggut,Ialibu Basin Rural,2,Yombi,Yombi,Wanep
97,Chimbu (Simbu),SNK,Salt Rural,23,Dawa,Kerry ,Kumboi
98,Eastern Highlands,Okapat,Okapa West,4,Tarabo,Mapega,Wayoepa
99,Morobe,Mumeng ,Mumeng Rural,10,Pamalabus ,Leago,Omakutut
100,,,,,,,
101,Chimbu (Simbu),Chuavet,Chuave Rural,04 - PIUKI,MAIMO,PIUKI,EMEREGAM
102,,,,,,,
103,Chimbu (Simbu),SSY,Tabare Rural,10,Oknel,Kimbaku,Atekue
104,Western Highlands,Tambul/Nebilyert,Mount Giluwe Rural,2,Pulumong,Passing,Passing
105,Southern Highlands,Kaugua Erawe,Aiya Rural,Mabata 1,Maruda ,Impi,Parama
106,Jiwaka ,Jimit,Tabibuga,10 - Koronzu,Wanku,Koliga,Bangkani
107,Madang,Madangt,Saido,31,Guhu,Dawadamo,Dawadamo
108,Western Highlands,Tambul/Nebilyert,Mailke,Pokari,Kopex,Maike,Mailke
109,Chimbu (Simbu),Kerowagit,Upper/Lower Koronigl Rural,12,Nombuna,Komkane ,Sugakau
110,Western Highlands,Hagen,Baiyer Rural,3,SANAP,PANSIMBU,KIMBIN
111,Southern Highlands,Pangia,South Wiru,2,Marapini,Kokono,Telori
112,Madang,Karkar,Kafentina Rural,12,Kul 2,Suar,Suar
113,Morobe,Nawaet,Wain-Erap Rural,16,Nambut,Zakwem,Zam
114,,,,,,,
115,Southern Highlands,Mendi/Munihut,Upper Mendi Rural,3,pirop,yakabu,kalome
116,Southern Highlands,Pangia,East Pangia Rural,2,Leka ,Koliri,Kane
117,Chimbu (Simbu),Kundiawa,Waiye Rural,2,Sikewake ,Kamaneku,Okd
118,Morobe,Nawaet,Gain/Kusip,11,Kasin,Nima,Nima
119,Southern Highlands,Kagua/Eravet,Kagua Erave ,1,Limba ,Munadrepa ,Atu
120,Southern Highlands,Ialibu/Pangiat,Kewabi Rural,Kumbame 1,Yamala ,Namola ,Kupili
121,Morobe,Tawae/Siassit,Siassi Rural,16,Yangla ,Kipili ,Kipili 
122,Southern Highlands,Kagua/Eravet,Aiya Rural,Wasa,Wasa,Awerapa,Akuna
123,Chimbu (Simbu),Karamui,Karamui ,14,Tua,Somodili,Sawale
124,Jiwaka ,Tapi,Ongolmol,,,Kapka,Nimkagane
125,Chimbu (Simbu),Sina Sina-Yonggomuglt,Yonggomugl Rural,1 B ,Kaulang ,Gulpu ,Gulpu
126,Chimbu (Simbu),Kerowagit,Gena/Waugla Rural,11,Tauya,Simbuka,Nuks
127,Chimbu (Simbu),Kerowagit,Apakoroniga,10,Dawagle,Paglau,Penganduku
128,Southern Highlands,Kagua/Eravet,Kuare Rural,Ita ,Ita ,Kulumburepa ,Kanarepa 
129,Southern Highlands,Ialibu/Pangiat,East Pangia Rural,Kauwo#1,Kauwo,Ebare,Muniri
130,Southern Highlands,Pangia,South Wiru,Yoka Koya ,Yoka ,Wiliri ,Wipaiti
131,Eastern Highlands ,Gorokat,Mimanalo Rural,3,Akameku,Hovero,Hoyufa
132,Chimbu (Simbu),Simbu,Waiye Rural,2,Pari,Kamaneku,Awakane
133,Southern Highlands,Mendi/Munihut,Kerenda ,1,Kerenda ,Kerenda ,Kerenda 
134,Madang,Madangt,North Ambenob,6,Riwo,Muyu,Muyu
135,Chimbu (Simbu),Kundiawa/Gemboglt,Waiye Rural,1,Kupau,Simbaiku,Kamaneku
136,Southern Highlands,Mendi/Munihut,Mendi Urban,1,Birop,Birop,Birop
137,Southern Highlands,Mendi/Munihut,Ialibu Basin Rural,1,Bimbim,,Wedari
138,Southern Highlands,Kagua/Eravet,Aiya Rural,Sumi 2,Yaware,Rairipa,Wakepa
139,Chimbu (Simbu),Kamtai,Tabare Rural,5,Las Wara,Golaku,Golasine
140,Chimbu (Simbu),Sonomane Karamul,Nomane Rural,7,Gul Maine,Gola Gomla ,Gomla 
141,Eastern Highlands ,Okapat,West Okapa Rural,8,Hagu,Kipox,Kipox
142,Southern Highlands,Pangia,South Wiru,Timbare,Timbare,Waluapiri,Waluapiri
143,Morobe,Kawbum,Dunantina Rural,11,Sombongan ,Timbe ,kepelam wasaki
144,Eastern Highlands,Lufat,Mount Michael Rural,12,Kuruka,Nega,Nega
145,Chimbu (Simbu),SNK ,Nomane Rural,1,Hoira,Ulwomareme,Sibaku
146,Southern Highlands,Mendi/Munihut,Lower Mendi Rural,Pundia Ward 1,Yara,Yotoreba,Yotoreba
147,Southern Highlands,Pangia,South Wiru,7,Wembu,Poluri,Wiliri
148,Southern Highlands,Mendi/Munihut,Lower Mendi Rural,2,Akuti,Onarep,Kirape
149,Western Highlands,Mul/Baiyert,Mul Rural,2,Packmong,Munzika,Munzika
150,Chimbu (Simbu),SSY,Yonggomugl Rural,6,Mai,Gugbuku,Piuk
151,Gulf,Keremat,Kotidanga Rural,1,Kiamdia,Naudia,Naudia
152,Jiwaka ,Nondugl,Nondugl Rural,Bamne 1,Gun,Anfaka,Kumka
153,Gulf,Keremat,Kotidanga Rural,1,Kiandia,Naodia,Naodia
154,Chimbu (Simbu),Chuavet,Chuave Rural,7,Kuramagi ,Gomea ,Kuramagi
155,Southern Highlands,Mendi/Munihut,Kagua Rural,2,Pokere ,Palisarepa,Soke 
156,Eastern Highlands,Tambul/Nebilyert,Mount Giluwe Rural,27,Wenda ,Lapok,Kuma Gala
157,Eastern Highlands,Henganofit,Fayantina Rural,9,Krafu,Folre ,Krampa 
158,Eastern Highlands,Henganofit,Fayantina Rural,9,Karafu,Krampa,Fore
159,Southern Highlands,Mendi/Munihut,Upper Mendi Rural,1,Semere,Kurilge,Komolam
160,Western Highlands,Mul/Baiyert,Mul Rural,2,Rugli,Engapin,Kumdi
161,Chimbu (Simbu),SSY ,Tabare Rural,1,Mu ,Tabare ,Bulagau
162,Western Highlands,Hagen,Ogelbeng,Kelam,Kelam,Komapi,Gika
163,Western Highlands,Nebilyer ,Telga ,2,Kumbia ,Kulga ,Muki
164,Chimbu (Simbu),Kundiawa/Gemboglt,Waiye Rural,4,Gere,Kamaneku,Enduka
165,Southern Highlands,Ialibu/Pangiat,South Wiru,1,Wala,Wanu,Wiliri
166,Southern Highlands,Pangia,Last Wiru,Timbari 2,Timbari,Lenepiri,Wanu
167,Morobe,Finschafent,Kate,3,Sosonigko,Wamoro,Lamocno
168,Morobe,Siassie ,Gasam,Ward 8,Gasam,Alangai Laupon,Brengavon
169,Morobe,Finschafent,Mape,13,Yombomng,Mape,zikac
170,Madang,KARKAR,Sumkar,23,GAMOG,TAKIA,PANULUAN 2
171,Madang,KARKAR,Kafentina Rural,13,KAUL NO. 3,,KASUGAM
172,Madang,Sumkart,Karkar Rural,23,GAMOG,TAKIA,MAKAK
173,Madang,KARKAR,Karkar Rural,14,MAPOR,KALUL,KALUL
174,Madang,KARKAR,Karkar Rural,12,KAU NO. 2,SUAR,SUAR
