admin_id,admin_province,admin_district,admin_llg,admin_ward,admin_village,admin_tribe,admin_clan
323,Eastern Highlands,Okapat,East Okapa Rural,15,Anaira,Avia,Avia
324,,Morobe,Kotte Rural,4,YUNZAING,KOTE,BATAC
325,Morobe,Nawaet,Nabak Rural,Three,Baindong,Nabak,Ayutaka
326,Eastern Highlands,Okapat,East Okapa Rural,15,Sinkura,Anonkafa,Tondamu
327,Morobe,Markhamt,Umi/Atzera Rural,27,Sangang,,
328,Eastern Highlands,Henganofit,Kafentina Rural,5,Hapanofi,Hapanofi,Fayo-o
329,Morobe,Bulolot,Buang Rural,Five,Ayeyok,Rizu,Ingupape
330,Eastern Highlands,Kianantu,Kamano No. 2 Rural,9,Babigka,,Kutanofi
331,Morobe,Markhamt,Leron Wantoat,13,KIKIAPA,PAEAM,BUNAM
332,Morobe,Nawaet,Nabak Rural,10,GOBADIK,MUSOM,MUSOM
333,Morobe,Finschafent,Yabim Mape Rural,6,KWALANSAM,YABEM,LOUM
334,Western Highlands,Tambul/Nebilyert,Mount Giluwe Rural,16 Ayaka 2,Pombile,Ayaka,Ayaka
335,Morobe,Finschafent,Kotte Rural,6,Masangko,Kote,Tucbang
336,Eastern Highlands,Kainantut,Iyevinonta,4,Baviga,,Benega
337,Morobe,Finschafent,Yabim Mape Rural,17,Sinko,Zaqing,Bulium
338,Southern Highlands,Kagua/Eravet,Aiya Rural,Pawayamo,Pawayamo,Palisarepa,Yaita
339,Western Highlands,Tambul/Nebilyert,Giluwe,Tamal,Kapo,Komola,Palinol
340,Morobe,Huont,Morobe Rural,16,ZARE,,WAPO
341,Morobe,Finschafent,Yabim Mape Rural,12,SIARANG,SUUNG,
342,Morobe,Finschafent,Yabim Mape Rural,16,BAMATA,NAGA,FAKINE
343,Western Highlands,Mul/Baiyert,Mul Rural,Kelngha 2,Kelngha,Kumdi,Kupemb
344,Morobe,Finschafent,Yabim Mape Rural,15,SUQANG,MAPE,BORONE
345,Morobe,Finschafent,Yabim Mape Rural,12,ZINKO,MIMIPE,SEKEN
346,Morobe,Finschafent,Kotte Rural,4,SANGMONZANG,MEHENG,ZOZORA
347,Morobe,Wau Waria,Waria Rural,13,ARAMUTA,BARIZA,SAKIZA
348,Morobe,Finschafent,Yabim Mape Rural,13,BEREMUNG,MAPE,LONGANG
349,Morobe,Finschafent,Kotte Rural,8,ZIWEWANENG,KOTE,MAROROC
350,Southern Highlands,Pangia,South Wiru,,Koyabu,Kima,Kawirene
351,Western Highlands,Mul/Baiyert,Mul Rural,Kelngha 2,Kelngha,Kumdi,Kupemb
352,Western Highlands,Mul/Baiyert,Mul Rural,Kelngha 2,Kelngha,Kumdi,Kupemb
353,Western Highlands,Hagen Central,Hagen Rural,Rolga,Balg,Kuklika,Nem
354,Morobe,Huont,Morobe Rural,,BAU,ZIA,SAKIA
355,Morobe,Finschafent,Kotte Rural,10,KIWESAWA,KOTE,TEMBANG
356,Southern Highlands,Imbonggut,Iabu Rural,Lepora,Lepora,Mokoi Kanbia,Mox
357,Southern Highlands,Pangia,South Wiru,Kalane,Kalane,Kawirene,Kowa
358,Southern Highlands,Imbonggut,Ialibu Basin Rural,5,Ponegama,Ipulumai,Lapeya
359,Morobe,Finschafent,Burum Kwat Rural,5,KOIRE,JILOMSEN,JILOMSEN
360,Morobe,Finschafent,Kotte Rural,4,YUNZAING,WAMOROC,GONDE
361,Morobe,Finschafent,Kotte Rural,6,QALANGKO,,
362,Southern Highlands,Kagua/Eravet,Aiya Rural,Yanguri 2,Kelemapi,Regerepa,Kera
363,Morobe,Huont,Morobe Rural,,ZARE,,WAAPO
364,Southern Highlands,Imbonggut,Lower Mendi Rural,Yebi one,Kalape,Mutup,Awaro
365,Morobe,Huont,Morobe Rural,,ZARE,,WAAPO
366,Morobe,Finschafent,Kotte Rural,3,SIRIRIO,ATEZINC,RAMONE
367,Morobe,Finschafent,Kotte Rural,10,HELDSBACH,KOA,ESIANDA
368,Morobe,Finschafent,Kotte Rural,1,AIMORAO,WAMORA,MASAWENG HOTTENE
369,Morobe,Huont,Morobe Rural,7,BOSADI,SUENA,YEWA
370,Morobe,Huont,Morobe Rural,,AINGSE,ZIA,YEWA
371,Eastern Highlands,Kainantut,Kianantu Urban,2,Tandranofi,Onempinka,Marumunofi
372,Morobe,Tawae/Siassit,Sialum Rural,1,GITUA,SIMOAT,ROTO
373,Morobe,Tawae/Siassit,Sialum Rural,5,KUKUYTA,MEZENGKIO,REZEK
374,Morobe,Finschafent,Burum Kwat Rural,4,JEVIZANG,,KAIWONG
375,Morobe,Finschafent,Hube Rural,14,SAFIFI,MAPE,SILIPA
376,Morobe,Finschafent,Yabim Mape Rural,19,TEMBANG,MAPE,ZINE
377,Morobe,Huont,Morobe Rural,,ZARE,SAIGAR,DZIA
378,Morobe,Tawae/Siassit,Sialum Rural,,TREE,SIALUM,
379,Morobe,Finschafent,Kotte Rural,6,FIOO,MASANGKO,TUCBANG
380,Southern Highlands,Imbonggut,Lower Mendi Rural,Yebi 1,Mumi,Kononarep,Ronge
381,Southern Highlands,Kagua/Eravet,Aiya Rural,Pawayamo,Pakina,Parisarepa,Yaita
382,Southern Highlands,Kagua/Eravet,Kagua,Yame,Yame,Ipiri,Mirupa
383,Southern Highlands,Ialibu/Pangiat,Ialibu Urban,4,Kendagl,Tangilci,Kawala
384,Southern Highlands,Pangia,South Wiru,,Yora,Wiliri,Poilom
385,Southern Highlands,Pangia,South Wiru,,Kotabu,Kawirene,
386,Southern Highlands,Pangia,South Wiru,Yoga - Yoya,Yoka,Wipai -Tee,Wiliri
387,Southern Highlands,Kagua/Eravet,Kagua Urban,Yame Ward 24,Yame,Oropa,Kole oropa
388,Southern Highlands,Pangia,South Wiru,Iaro ward 1,Iaro,Tanderi,Kairi
389,Southern Highlands,Ialibu/Pangiat,South Wiru,Epapini,Kuruyap,Yumbiri,Mokoru
390,Southern Highlands,Pangia,South Wiru,Kaluwe 1,Milaike,Kaimari,Nowei
391,Southern Highlands,Pangia,South Wiru,,Akoyabu,Kauirene,Take
392,Southern Highlands,Kagua/Eravet,Kagua Central,Mabuanda,Mabuanda,Sualo,Kaladi
393,Eastern Highlands,Kainantut,Kamano,2,Taranofi,,
394,Jiwaka ,JIWAKA,North Waghi Rural,,KAPALKU,DANGE,JEKA
395,Eastern Highlands,Kainantut,Kamano No. 1 Rural,1,Krufinave,Krufinave,Nonje
396,Eastern Highlands,Kainantut,Kamano,1,Bobonave,Bobonave,Janofi
397,Eastern Highlands,Kainantut,Kamano,1,Bobonave,Bobonave,Upanofi
398,Eastern Highlands,Obura/Wonenarat,Gadsup Tairora Rural,12,Erandora,"Suwaira No,2",Kau-una
399,Morobe,Kainantut,Kainantu Urban,6,Avina,,
400,Eastern Highlands,Henganofit,Apafiantina,,Kerevave,,Sirente
401,Jiwaka ,JIWAKA,North Waghi Rural,,KAPALKU,DANGE,JEKA
402,Eastern Highlands,Kainantut,,1,Bobonave,,
403,Jiwaka ,JIWAKA,Nondgel,1,KOROP,WALKAN,WIKA
404,Eastern Highlands,Kainantut,Kamano No. 2 Rural,4,Benaga,,
405,Eastern Highlands,Kainantut,Agarabi Rural,Ramu Ward 1,Dawerumpa,Anona,Tawan
406,Eastern Highlands,Kainantut,East Okapa Rural,15,Amaira,Afia,Afia
407,Eastern Highlands,Kainantut,Kamano No. 2 Rural,5,Sisimega,Anumsaga,Kelfa
408,Eastern Highlands,Kainantut,K 1,1,Tanaranofi,,Maramu
409,Eastern Highlands,Kainantut,Kamano No. 1 Rural,5,Kumanofi,,Kreme
410,Eastern Highlands,Henganofit,Kafentina Rural,5,Vitix,Habangi,Habangi
411,Jiwaka ,Banz ,Nondgel,,KONDWIL,OKAN,KOMUNKA
412,Eastern Highlands,Kainantut,Kamano No. 2 Rural,5,Onaimuga,Megusa,Tiranofi
413,Jiwaka ,NONDUGL,Munumul,3,BONONG,KOMUNKA,OKAN
414,Eastern Highlands,Kainantut,Iyevinonta,18,Yoginofi,Mabganabe,Yoginofi
415,Eastern Highlands,Henganofit,Kafentina Rural,6,Henganofi,,Abigusa
416,Eastern Highlands,Henganofit,Kafentina Rural,6,Henganofi,,Abigusa
417,Eastern Highlands,Kainantut,Agarabi Rural,6,Kanimpa,Anonanan,Kainan
418,Eastern Highlands,Kainantut,Kamano,6,Kuma,Kuma,Kuma
419,Chimbu (Simbu),Kerowagit,Kup Rural,6,GURUMUK,NANGINKU,MISAP
420,Jiwaka ,NONDUGL,Munumul,3,BONONG,KOMUNKA,OKAN
421,Eastern Highlands,Okapat,East,15,,Singura,Ofompina
422,Eastern Highlands,Kainantut,K 1,7,Tapo,Bane,Baneritu
423,Eastern Highlands,Kainantut,Kamano No. 1 Rural,2,Panafi,,
424,Eastern Highlands,Henganofit,Tevega,9,Aseu,Sia,Ako
425,Eastern Highlands,Henganofit,Dunantina Rural,8,Kemenave,Ikanofi,Kenkao
426,Jiwaka ,JIWAKA,Nondgel,1,BANINE,OKAN,BANGKAN
427,Eastern Highlands,Henganofit,Kafentina Rural,6,Konamempi,Kesegenafamo,Kekave
428,Eastern Highlands,Henganofit,Punatina,2,Timereo,Kafe,Kunumpa
429,Eastern Highlands,Henganofit,Kafentina Rural,5,Sky,Johotegave,Ufaga
430,Eastern Highlands,Henganofit,Kafentina Rural,5,Johotegave,Johotegave,Ufaga
431,Eastern Highlands,Henganofit,Kafentina Rural,5,Johotegave,Johotegave,Ufaga
432,Eastern Highlands,Henganofit,Kafentina Rural,5,Johotegave,Johotegave,Ireija
433,Jiwaka ,North Waghit,North Waghi Rural,KAKINJEP,KILIP,ANDAPANG,KARIM
434,Chimbu (Simbu),Kerowagit,Kup Rural,3,Dombo,Yuri,Ermain
435,Jiwaka ,Mins,South Wiru,Djeck 1,Djeck,Yumkup,Endukanem
436,Eastern Highlands,Henganofit,Kafentina Rural,6,Henganofi,Fumegena,Fogaonta
437,Eastern Highlands,Henganofit,Dunantina Rural,4,Tinteo,Tintegawe,Yalgunofi
438,Eastern Highlands,Kainantut,Kamano No. 2 Rural,Onamuga,Sisimega,Anumaga,Kelfa
439,Eastern Highlands,Henganofit,Kafentina Rural,7,Kamuina,Wildman,Finoi
440,Chimbu (Simbu),Kerowagit,Lower Koronigle,1,DEMAG,DAGLE,WAUGLAKU
441,Eastern Highlands,Henganofit,Kafentina Rural,2,Kinkio,Henganofi,
442,Eastern Highlands,Kainantut,Tairora,9,Onanika,Ireno,Tape
443,Chimbu (Simbu),Kerowagit,Upper/Lower Koronigl Rural,2,KEWAMUGL,DAGLE,KORUKANE
444,Jiwaka ,JIWAKA,Kudjip,1,PIANG,BREKARE,KOPEKANEM
445,Jiwaka ,North Waghit,Nondugl Rural,1,BAMNE,ANDPAKAN,BOMAKAN
446,Chimbu (Simbu),Kerowagit,Upper/Lower Koronigl Rural,4,MOROMA,DUKANE,WURUMANGAKANE
447,Eastern Highlands,Obura/Wonenarat,Gadsup Tairora Rural,3,Binumarie,Fafase,Fafase
448,Eastern Highlands,Jiwaka,North Waghi Rural,,Onil,Owelka,Konskan
449,Chimbu (Simbu),Kerowagit,Lower Upper,5,GONDAMANDA,MULWAUKU,GENDUAKANE
450,Chimbu (Simbu),Kerowagit,Kup Rural,3,MONIGUL,YURI,
451,Jiwaka ,JIWAKA,Kudjip,,TOMBIL,BREKAPE,KOPEKANEM
452,Eastern Highlands,Kainantut,Kasup,4,Kamanda,Bassum,Bassum
453,Chimbu (Simbu),Kerowagit,Upper Lower,9,DAWAGIE,PAGLAU,BENGADIKU
454,Eastern Highlands,Okapat,Gadsup Tairora Rural,12,Ean Dora,Kaibena,Kainbena
455,Eastern Highlands,Kainantut,Kamano No. 1 Rural,1,Tanranofi,Seyako,Marumu
456,Jiwaka ,KOL JIMI,Kol Rural,16,MULU,OLKANE,KOMUNAK
457,Chimbu (Simbu),Kerowagit,Lower Upper,3,DENGE,DAGLE,TEKAKANE
458,Eastern Highlands,Henganofit,Kafentina Rural,11,Henanofi,,Fu Megenannofi
459,Chimbu (Simbu),Kerowagit,Lower Upper,4,MOROMA,DAGLE,BUKANE
460,Chimbu (Simbu),Kerowagit,Upper Lower,,KEWAMUGL,UPPER DAGLE,TEKA WAIKANE
461,Jiwaka ,Jimit,Kol Rural,,KILAMEL,PALA,AIMBEKA
462,Eastern Highlands,Henganofit,Kafentina Rural,6,Henganofi,Fumegena,Fomurena
463,Eastern Highlands,Kainantut,Agarabi Rural,7,Moimo,,Auri
464,Jiwaka ,Jimit,Kol Rural,,KULAMEL,PALA,AIMBEKA
465,Eastern Highlands,Okapat,East Okapa Rural,15,Amaira,Awiyepi,Singura
466,Eastern Highlands,Okapat,East Okapa Rural,15,Amaira,Avia,Kafanumana
467,Jiwaka ,Jimit,Kol Rural,,KULAMEL,PALA,AIMBEKA
468,Eastern Highlands,Kainantut,Kamano No. 1 Rural,3,Onenofi,Bane,Onti
469,Chimbu (Simbu),Kerowagit,Kup Rural,5,DOMINA,KUMAI,KUNDNAGILGAPAM
470,Jiwaka ,Jimit,Waramans,5,JINSAMP,KUDULKAN,WIKA
471,Southern Highlands,Imbonggut,Lower Mendi Rural,Pundit Council Ward,Pundia,Mox,Pergpe
472,Southern Highlands,Imbonggut,Lower Mendi Rural,Omai,Omai,Onarop,Ropa
473,Southern Highlands,Kagua/Eravet,Aiya Rural,Pati Sare,Imuya,Yamola,Paruma
474,Southern Highlands,Kagua/Eravet,Aiya Rural,Lakira,Lakira,Nemola,Kemborepa
475,Southern Highlands,Pangia,South Wiru,Timbari 2,Timbari,Lenepiri,Were
476,Southern Highlands,Pangia,South Wiru,6,Kangren,,Umbri
477,Southern Highlands,Pangia,Maipini,Werigo,Maipini,Peri,Peri
478,Southern Highlands,Ialibu/Pangiat,South Wiru,Poloko Ward 1,Ponodia,Kawipene,Yukuma
479,Southern Highlands,Pangia,South Wiru,Kaluwe 2,Kaluwe,,Tawindi
480,Southern Highlands,Pangia,Tans,1,Wariko,Wariko,Kainari
481,Southern Highlands,Imbonggut,Lower Mendi Rural,Pundia /Limbaile,Yara,Yaterepa,Kawili
482,Southern Highlands,Kagua/Eravet,Aiya Rural,Uma 2,Uma,Buna,Asa
483,Southern Highlands,Pangia,South Wiru,Poloko Word One,Poloka,Tole,Tarowa
484,Southern Highlands,Pangia,East Pangia Rural,Molo 2,Laiyo,Kambiri,Karipuri
485,Southern Highlands,Imbonggut,Lower Mendi Rural,Asesa,Papera,Makai,Loi
486,Southern Highlands,Ialibu/Pangiat,South Wiru,Kalane,Kalane,Yaro,Kawirene
487,Southern Highlands,Kagua/Eravet,Aiya Rural,Sumi ward 2,Yaware,Raipipa,Anarepa
488,Southern Highlands,Mendi/Munihut,Upper Mendi Rural,Semera CW,Semera,Kekuton,Kurilke
489,Southern Highlands,Imbonggut,Lower Mendi Rural,Omai,Omai,Ambia,Anabia
490,Southern Highlands,Ialibu/Pangiat,South Wiru,Kegereni moroa,Moroa,Yumbiri,Kewa
491,Southern Highlands,Ialibu/Pangiat,South Wiru,Kegereni moroa,Moroa,Yumbiri,Kewa
492,Southern Highlands,Mendi/Munihut,Imbonggu Rural,3,Nakop,Papuai,Algu
493,Southern Highlands,Pangia,East Pangia Rural,1,Yungili,Yoarene,Karepa
494,Southern Highlands,Kagua/Eravet,Aiya Rural,,Uma,ASA,Ambitia
495,Southern Highlands,Imbonggut,Lower Mendi Rural,Omai,Kana,Anditarepa,Yamu
496,Southern Highlands,Imbonggut,Lower Mendi Rural,Omai,Kana,Makai,Makai
497,Southern Highlands,Pangia,South Wiru,Keredali,Tarini,Epea,
498,Southern Highlands,Mendi/Munihut,Upper Mendi Rural,Semera,Semera,Mundika,Kurilka
499,,,South Wiru,Ward 3,Bolona,,Aluwe
500,Southern Highlands,Mendi/Munihut,Last wiru,15,Kelepini,Kaurie,Kaugerene
501,Southern Highlands,Mendi/Munihut,Upper Mendi Rural,Kuna 2,Kuma,Kurlka,Kumbi Popo
502,Southern Highlands,Kagua/Eravet,Aiya Rural,Umai,Umai,Yako,Yako
503,Jiwaka ,North Waghit,Nondugl Rural,,BAMNE,ANDPAKAKAN,BOMAKAN
504,Eastern Highlands,Kainantut,Kamano,one,Krufinave,Onompi,Tirae
505,Eastern Highlands,Obura/Wonenarat,Gadsup Tairora Rural,3,Binumarian,Ivilling,Bayan
506,Eastern Highlands,Obura/Wonenarat,Gadsup Tairora Rural,3,Binumarian,Ivilling,Bayan
507,Chimbu (Simbu),Kerowagit,Gena/Waugla Rural,12,KONBI,SIAMBUGLA,OKONDIE
508,Jiwaka ,North Waghit,Nondugl Rural,3,KONMAGL,KOLKA,MUNOKAN
509,Chimbu (Simbu),Kerowagit,Kondan,,KONDAN,PAGAU,SIMBAIKU
510,Jiwaka ,JIWAKA,North Waghi Rural,,KAMING,WIKA,KORILKANE OLKANE
511,Jiwaka ,Jimit,Tabibuga,,KAUIL,KONSKA,MONIKA
512,Southern Highlands,Pangia,Pangia,,Mamuane,Kawi,Kawi
513,Jiwaka ,JIWAKA,Nondugl Rural,3,KONDUWIL,OKAN,KOMUNKA
514,Eastern Highlands,Henganofit,Dunantina Rural,4,Banka,Bazamunte,Etuo
515,Jiwaka ,Banz ,North Waghi Rural,,DUMBOLA,KAPANGAP,WONGUP
516,Eastern Highlands,Henganofit,Dunantina Rural,4,Bafo,Kate,Hengao
517,Southern Highlands,Pangia,South Wiru,Powe Ward 3,Yaro,Iand,Tepi
518,Southern Highlands,Imbonggut,Lower Mendi Rural,Tutam Ward,Lumbi,Kipu,Sembia
519,Southern Highlands,Kagua/Eravet,Aiya Rural,Mapaita 1,Mapaita,Ramirepa,Yambarea
520,Eastern Highlands,Unggai/Bennat,Lower Benna Rural,7,Lampo,Numuyanofi,Osapato
521,Jiwaka ,MINJ,Kudjip,2,TOMBIL,BEREKPA,KOPUNKANEM
522,Jiwaka ,SOUTH WAGHI,Kudjip,1,KUDJIP,MIAMGA,KUMA
523,Southern Highlands,Pangia,South Wiru,Yaro Pow,Paria,Tande,Tepiri
524,Jiwaka ,JIWAKA,Minj,2,ALNALKOL,KODIKA,MANDEPKANAM
525,Southern Highlands,Mendi/Munihut,Upper Mendi Rural,Kuma,Kuma,Komolom,Komolom
526,Jiwaka ,JIWAKA,Banz ,1,DUMBOLA,KNK,KAPANGUP
527,Southern Highlands,Mendi/Munihut,Upper Mendi Rural,Birop 1,Birop,Ilegomhulga,Underpipe
528,,,Upper Mendi Rural,,SEMERA,SEMERA,KURILKA
529,Chimbu (Simbu),Kerowagit,Upper/Lower Koronigl Rural,5,MIUNDE,DAGLE,MUGULUAKU
530,Southern Highlands,Pangia,Laibu/pangia,One,Maupini,Pondere,Yoraene
